,load_MW,solar_cf,wind_cf
727,35567,0,0.103
728,36944,0,0.047
729,38263,0.148,0.017
730,39222,0.385,0
731,39331,0.559,0
732,38914,0.665,0
733,38317,0.716,0
734,37566,0.712,0
735,36990,0.652,0
736,36688,0.541,0
737,36892,0.377,0.55
738,37773,0.153,0.649
739,40048,0,0.634
740,40793,0,0.554
741,40590,0,0.663
742,39881,0,0.695
743,38396,0,0.726
744,36925,0,0.64
745,36055,0,0.549
746,35850,0,0.351
747,36087,0,0.197
748,36801,0,0.046
749,38346,0,0.031
750,41217,0,0.042
751,45428,0,0.043
752,47907,0,0.103
753,47251,0.146,0.194
754,45651,0.05,0.247
755,44101,0.11,0.346
756,42638,0.127,0.254
757,41153,0.194,0.375
758,40105,0.25,0.707
759,39292,0.461,0.727
760,38720,0.584,0.792
761,38684,0.229,0.796
762,39396,0.143,0.713
763,41707,0,0.781
764,42510,0,0.769
765,42451,0,0.5
766,41861,0,0.376
767,40341,0,0.569
768,38807,0,0.715
769,37764,0,0.723
770,37312,0,0.719
771,37368,0,0.77
772,37759,0,0.595
773,39084,0,0.173
774,41710,0,0.191
775,45550,0,0.155
776,47524,0,0.117
777,46870,0.016,0.079
778,44875,0.078,0.026
779,43099,0.599,0
780,41560,0.243,0
781,40169,0.296,0
782,39201,0.486,0.035
783,38376,0.587,0.07
784,37948,0.636,0.125
785,38023,0.442,0.136
786,38649,0.187,0.11
787,40620,0,0.141
788,41050,0,0.174
789,40810,0,0.149
790,39923,0,0.134
791,38220,0,0.103
792,36602,0,0.157
793,35658,0,0.201
794,35275,0,0.124
795,35255,0,0.25
796,35709,0,0.126
797,36910,0,0.054
798,39236,0,0.172
799,43089,0,0.365
800,44705,0,0.39
801,43932,0.177,0.342
802,42257,0.43,0.395
803,40761,0.617,0.409
804,39726,0.732,0.46
805,38892,0.788,0.448
806,38513,0.782,0.233
807,38371,0.719,0.289
808,38437,0.598,0.491
809,38740,0.418,0.535
810,39096,0.182,0.52
811,40609,0,0.47
812,40851,0,0.653
813,40122,0,0.755
814,38697,0,0.722
815,36542,0,0.754
816,34327,0,0.738
817,32776,0,0.747
818,31876,0,0.769
819,31306,0,0.766
820,31185,0,0.51
821,31822,0,0.358
822,33582,0,0.378
823,36420,0,0.339
824,37939,0,0.285
825,38390,0.054,0.206
826,39042,0.148,0.188
827,39487,0.609,0.141
828,39826,0.718,0.085
829,40095,0.773,0.053
830,40187,0.766,0.141
831,40001,0.705,0.126
832,40043,0.595,0.105
833,40081,0.418,0.048
834,40075,0.182,0.015
835,41290,0,0
836,41452,0,0
837,40745,0,0
838,39412,0,0
839,37466,0,0
840,35542,0,0
841,34313,0,0
842,33685,0,0.006
843,33597,0,0.098
844,33921,0,0.128
845,34921,0,0.002
846,37137,0,0.003
847,40624,0,0
848,42777,0,0.025
849,43409,0.165,0.08
850,43700,0.406,0.062
851,43409,0.578,0.029
852,42756,0.685,0.033
853,41987,0.735,0.062
854,40993,0.731,0.105
855,40029,0.677,0.42
856,39566,0.572,0.699
857,39490,0.404,0.643
858,40170,0.176,0.69
859,41876,0,0.365
860,42243,0,0.201
861,41941,0,0.231
862,41407,0,0.308
863,40098,0,0.19
864,38635,0,0.071
865,37278,0,0.093
866,36529,0,0.06
867,36134,0,0.164
868,36013,0,0.037
869,36305,0,0.036
870,37070,0,0
871,38441,0,0
872,39860,0,0
873,41242,0.175,0.122
874,42281,0.413,0.199
875,42256,0.587,0.161
876,41149,0.695,0.118
877,39927,0.748,0.275
878,38679,0.745,0.453
879,37682,0.685,0.534
880,37091,0.575,0.747
881,37035,0.407,0.826
882,37527,0.183,0.781
883,38843,0,0.668
884,39665,0,0.721
885,39523,0,0.677
886,38954,0,0.834
887,38172,0,0.789
888,37312,0,0.779
889,36669,0,0.767
890,36367,0,0.802
891,36445,0,0.668
892,36959,0,0.567
893,37735,0,0.706
894,38860,0,0.72
895,40363,0,0.739
896,41847,0,0.707
897,42863,0.11,0.617
898,43128,0.413,0.529
899,42507,0.583,0.395
900,41205,0.685,0.297
901,39607,0.732,0.328
902,38447,0.726,0.634
903,37598,0.664,0.476
904,37250,0.554,0.535
905,37320,0.357,0.391
906,37792,0.178,0.278
907,38940,0,0.337
908,39576,0,0.441
909,39601,0,0.313
910,39475,0,0.337
911,38280,0,0.389
912,36421,0,0.298
913,35106,0,0.382
914,34438,0,0.302
915,34258,0,0.461
916,34371,0,0.143
917,35150,0,0.128
918,37077,0,0.115
919,40104,0,0.142
920,41703,0,0.254
921,41874,0.001,0.301
922,41892,0.012,0.342
923,41741,0.029,0.355
924,41385,0.077,0.414
925,40854,0.225,0.449
926,40463,0.269,0.432
927,39754,0.254,0.58
928,39263,0.597,0.614
929,39365,0.412,0.728
930,39892,0.18,0.669
931,41430,0,0.687
932,41740,0,0.78
933,41155,0,0.617
934,40040,0,0.595
935,38145,0,0.793
936,36278,0,0.801
937,35105,0,0.673
938,34646,0,0.656
939,34629,0,0.623
940,35051,0,0.749
941,36319,0,0.534
942,38833,0,0.575
943,42265,0,0.612
944,44811,0,0.659
945,45842,0.012,0.708
946,46548,0.039,0.803
947,47181,0.065,0.803
948,47321,0.065,0.799
949,46999,0.151,0.523
950,46598,0.295,0.492
951,46074,0.228,0.834
952,45768,0.104,0.834
953,46122,0.044,0.833
954,46934,0.029,0.834
955,48447,0,0.817
956,48567,0,0.823
957,47687,0,0.82
958,46187,0,0.724
959,43938,0,0.793
960,41755,0,0.793
961,40521,0,0.702
962,39991,0,0.751
963,39948,0,0.795
964,40279,0,0.665
965,41265,0,0.707
966,43525,0,0.744
967,46924,0,0.611
968,49136,0,0.566
969,49747,0.001,0.572
970,50387,0.013,0.524
971,51007,0.059,0.452
972,51234,0.05,0.318
973,51128,0.09,0.054
974,51082,0.195,0.137
975,50907,0.241,0.03
976,50962,0.575,0
977,51615,0.312,0
978,52710,0.175,0
979,53952,0,0
980,53980,0,0.007
981,53333,0,0.116
982,51937,0,0.576
983,49697,0,0.76
984,47724,0,0.759
985,46605,0,0.726
986,46227,0,0.689
987,46269,0,0.651
988,46777,0,0.373
989,48141,0,0.328
990,50732,0,0.361
991,54185,0,0.3
992,56833,0,0.285
993,58104,0.02,0.337
994,59098,0.06,0.346
995,59769,0.137,0.398
996,60107,0.546,0.423
997,59834,0.745,0.462
998,59497,0.736,0.596
999,59113,0.416,0.625
1000,58978,0.466,0.681
1001,59218,0.29,0.725
1002,59999,0.08,0.725
1003,61120,0,0.574
1004,61104,0,0.115
1005,60544,0,0.196
1006,58872,0,0.548
1007,56637,0,0.591
1008,54682,0,0.273
1009,53563,0,0.182
1010,53152,0,0.042
1011,53141,0,0
1012,53555,0,0.054
1013,54726,0,0.178
1014,56985,0,0.246
1015,60176,0,0.13
1016,62345,0,0.155
1017,63307,0.111,0.31
1018,63844,0.405,0.433
1019,63997,0.586,0.364
1020,63482,0.7,0.333
1021,62794,0.759,0.143
1022,62204,0.704,0.176
1023,61774,0.702,0.187
1024,61286,0.37,0.13
1025,61381,0.412,0.089
1026,62128,0.183,0.149
1027,63112,0,0.093
1028,63056,0,0.061
1029,62358,0,0.077
1030,61175,0,0.084
1031,59281,0,0.092
1032,57584,0,0.163
1033,56130,0,0.172
1034,55483,0,0.186
1035,55252,0,0.15
1036,55405,0,0.037
1037,56083,0,0
1038,57394,0,0
1039,58997,0,0
1040,60470,0,0.001
1041,62047,0.112,0.019
1042,63495,0.302,0.058
1043,64132,0.47,0.059
1044,63591,0.305,0.061
1045,62102,0.795,0.116
1046,60180,0.79,0.152
1047,58571,0.73,0.071
1048,57506,0.619,0.032
1049,57650,0.335,0.035
1050,58850,0.193,0.063
1051,60585,0,0.038
1052,60799,0,0.028
1053,60185,0,0.047
1054,59158,0,0.057
1055,57579,0,0.081
1056,56272,0,0.068
1057,55283,0,0.026
1058,54747,0,0.01
1059,54701,0,0
1060,55005,0,0
1061,55630,0,0
1062,56680,0,0
1063,58071,0,0
1064,59511,0,0
1065,61300,0.065,0
1066,63072,0.11,0
1067,64185,0.261,0
1068,64864,0.256,0
1069,65047,0.208,0.526
1070,65029,0.222,0.393
1071,65189,0.122,0.591
1072,65557,0.153,0.754
1073,66468,0.054,0.801
1074,68095,0.003,0.8
1075,69635,0,0.822
1076,69692,0,0.785
1077,69324,0,0.737
1078,68474,0,0.699
1079,67201,0,0.652
1080,66271,0,0.566
1081,65777,0,0.521
1082,63910,0,0.392
1083,53983,0,0.384
1084,54103,0,0.25
1085,54523,0,0.163
1086,51840,0,0.091
1087,51148,0,0.044
1088,51220,0,0.03
1089,49646,0.032,0.018
1090,49443,0.432,0
1091,48616,0.631,0
1092,47548,0.763,0
1093,46198,0.821,0
1094,45424,0.821,0
1095,45101,0.363,0
1096,45417,0.3,0
1097,45767,0.171,0.002
1098,45426,0.086,0.039
1099,45062,0,0.065
1100,44257,0,0.109
1101,44364,0,0.214
1102,44894,0,0.254
1103,44100,0,0.178
1104,43704,0,0.131
1105,44070,0,0.005
1106,44524,0,0
1107,45259,0,0
1108,46108,0,0
1109,45598,0,0
1110,45682,0,0.012
1111,46502,0,0.067
1112,46797,0,0.144
1113,45856,0.202,0.17
1114,44948,0.454,0.194
1115,44196,0.639,0.178
1116,44292,0.752,0.198
1117,44273,0.801,0.26
1118,43978,0.793,0.183
1119,45177,0.729,0.255
1120,45570,0.608,0.631
1121,46124,0.435,0.694
1122,46562,0.205,0.706
1123,45843,0,0.633
1124,45499,0,0.505
1125,45307,0,0.48
1126,44393,0,0.522
1127,43538,0,0.674
1128,42691,0,0.465
1129,42689,0,0.795
1130,42629,0,0.825
1131,43021,0,0.834
1132,43075,0,0.486
1133,43135,0,0.041
1134,43306,0,0.016
1135,43905,0,0.063
1136,44295,0,0.201
1137,44062,0.207,0.32
1138,44635,0.453,0.524
1139,45318,0.354,0.587
1140,45314,0.751,0.66
1141,45420,0.809,0.383
1142,45547,0.808,0.802
1143,45156,0.749,0.82
1144,44954,0.634,0.819
1145,45341,0.455,0.834
1146,47212,0.22,0.834
1147,48914,0,0.834
1148,49225,0,0.834
1149,49445,0,0.834
1150,49277,0,0.834
1151,48820,0,0.834
1152,48263,0,0.834
1153,48173,0,0.834
1154,47971,0,0.816
1155,47995,0,0.795
1156,48188,0,0.798
1157,48831,0,0.432
1158,50142,0,0.206
1159,51788,0,0.217
1160,52969,0,0.31
1161,54156,0.212,0.337
1162,55290,0.457,0.134
1163,55724,0.641,0.123
1164,55475,0.648,0.094
1165,54260,0.708,0.047
1166,52574,0.417,0.038
1167,51232,0.756,0.296
1168,50397,0.501,0.283
1169,50496,0.272,0.416
1170,51811,0.171,0.316
1171,54446,0,0.426
1172,55175,0,0.517
1173,54835,0,0.465
1174,54135,0,0.584
1175,52944,0,0.579
1176,52017,0,0.522
1177,51435,0,0.387
1178,51494,0,0.428
1179,51905,0,0.355
1180,52456,0,0.146
1181,53563,0,0.194
1182,55285,0,0.44
1183,57538,0,0.586
1184,58610,0,0.619
1185,57156,0.11,0.673
1186,54548,0.436,0.765
1187,51763,0.604,0.773
